,Len,Indices
230,3,"[9849, 58988, 92822]"
231,15,"[8873, 16696, 22064, 70321, 75212, 76138, 86313, 89860, 99809, 105003, 106220, 110351, 122319, 127990, 129780]"
232,10,"[3922, 3942, 33178, 37016, 41687, 46053, 52301, 67364, 121311, 130350]"
233,10,"[33156, 53925, 58854, 66878, 68941, 75463, 75704, 86448, 117416, 126588]"
234,21,"[8981, 12180, 15850, 26094, 26589, 26598, 42770, 45437, 45725, 49104, 58431, 84511, 88024, 88264, 90047, 92084, 117169, 121059, 121776, 127081, 127158]"
235,5,"[16148, 34772, 61476, 80288, 119072]"
236,5,"[31431, 55338, 61364, 113494, 115821]"
237,7,"[17379, 32476, 33084, 43015, 46441, 127318, 130739]"
238,7,"[14204, 44455, 47518, 62531, 81599, 81725, 100883]"
239,8,"[8514, 45927, 56337, 59811, 63876, 70376, 91509, 130232]"
240,6,"[1170, 29667, 81673, 84688, 101334, 113952]"
241,4,"[20393, 22809, 43722, 121188]"
242,7,"[6419, 7427, 50340, 65404, 107984, 122152, 127789]"
243,4,"[6562, 9183, 54896, 72618]"
244,7,"[2372, 50805, 71475, 72015, 104272, 114294, 122872]"
245,6,"[10919, 14466, 47344, 95542, 97557, 124200]"
246,10,"[297, 10614, 33429, 89027, 95785, 95790, 110432, 115477, 117705, 123733]"
247,15,"[14813, 24434, 34088, 39576, 41230, 48134, 50355, 60646, 65585, 73040, 107075, 112608, 114759, 123978, 128815]"
248,6,"[13672, 33710, 50709, 85345, 96712, 104541]"
249,18,"[2693, 5973, 8356, 11873, 18984, 21817, 29134, 34575, 45869, 45882, 45896, 47014, 61507, 82286, 88896, 92649, 104864, 125312]"
250,6,"[4918, 32466, 35063, 92921, 119374, 121641]"
251,4,"[43270, 63983, 103089, 127585]"
252,6,"[3309, 6399, 25787, 26013, 93325, 116943]"
253,9,"[3304, 23174, 23436, 40408, 51536, 69377, 69669, 97579, 124866]"
254,11,"[6286, 16264, 72745, 79847, 84340, 90926, 92114, 92289, 101746, 109106, 133152]"
255,4,"[4949, 53330, 79004, 84715]"
256,5,"[14041, 25707, 52136, 105662, 124720]"
257,10,"[7390, 10881, 50186, 54074, 67295, 69110, 70822, 84682, 88672, 114035]"
258,9,"[6185, 16984, 23598, 27435, 54526, 78219, 81470, 119110, 119434]"
259,12,"[7698, 12675, 26762, 27274, 43375, 55785, 57936, 77340, 77608, 104115, 111585, 128971]"
260,6,"[12886, 24840, 27623, 107928, 109205, 124324]"
261,11,"[3830, 26967, 36764, 45409, 46801, 66625, 85957, 86226, 111319, 121279, 129752]"
262,4,"[5609, 19979, 53951, 103006]"
263,8,"[31768, 35886, 48435, 78364, 90942, 104488, 127516, 129202]"
264,11,"[16112, 34184, 40981, 47561, 49718, 61239, 78917, 79303, 98512, 105258, 118708]"
265,8,"[22299, 36224, 50316, 51873, 93360, 104275, 114603, 129480]"
266,6,"[14366, 23047, 55390, 73127, 92665, 101788]"
267,5,"[11136, 58104, 65539, 74583, 129268]"
268,22,"[3414, 5557, 7746, 15535, 21483, 22891, 40849, 40966, 46790, 47488, 47609, 51793, 55644, 57807, 85867, 89108, 93368, 104580, 108715, 125276, 128894, 132429]"
269,4,"[55300, 70435, 79177, 125274]"
270,10,"[13760, 24376, 33464, 33748, 64140, 67774, 96019, 99663, 105098, 107022]"
271,6,"[25153, 32519, 49905, 55894, 103984, 131976]"
272,7,"[17294, 50070, 62223, 68093, 72026, 87666, 91590]"
273,8,"[13084, 30937, 38570, 44703, 91698, 96116, 97978, 115321]"
274,5,"[4574, 6472, 7628, 87548, 108126]"
